course_id,outcome_id,outcome_code,ps_outcome_code,display_code,outcome_title,active
COM11,communications-technology-11-1-1,COM11-1-1,CT11-1-1,1.1,History of communication,true
COM11,communications-technology-11-1-2,COM11-1-2,CT11-1-2,1.2,Career strengths (comm tech),true
COM11,communications-technology-11-1-3,COM11-1-3,CT11-1-3,1.3,Professional portfolio,true
COM11,communications-technology-11-1-4,COM11-1-4,CT11-1-4,1.4,Persuade / entertain an audience,true
COM11,communications-technology-11-1-5,COM11-1-5,CT11-1-5,1.5,Social & environmental impact,true
COM11,communications-technology-11-1-6,COM11-1-6,CT11-1-6,1.6,Life-cycle analysis,true
COM11,communications-technology-11-1-7,COM11-1-7,CT11-1-7,1.7,Safe practices,true
COM11,communications-technology-11-2-1,COM11-2-1,CT11-2-1,2.1,Camera operation & care,true
COM11,communications-technology-11-2-2,COM11-2-2,CT11-2-2,2.2,Photo technique & composition,true
COM11,communications-technology-11-2-3,COM11-2-3,CT11-2-3,2.3,Scene lighting,true
COM11,communications-technology-11-2-4,COM11-2-4,CT11-2-4,2.4,Resolution & file formats,true
COM11,communications-technology-11-4-1,COM11-4-1,CT11-4-1,4.1,Principles & elements of design,true
COM11,communications-technology-11-4-2,COM11-4-2,CT11-4-2,4.2,Colour theory,true
COM11,communications-technology-11-4-3,COM11-4-3,CT11-4-3,4.3,Typography,true
COM11,communications-technology-11-4-4,COM11-4-4,CT11-4-4,4.4,Message with image + word,true
COM11,communications-technology-11-4-5,COM11-4-5,CT11-4-5,4.5,Web image output,true
COM11,communications-technology-11-6-1,COM11-6-1,CT11-6-1,6.1,Capture video safely,true
COM11,communications-technology-11-6-2,COM11-6-2,CT11-6-2,6.2,Sound tracks in video,true
COM11,communications-technology-11-6-3,COM11-6-3,CT11-6-3,6.3,Edit video,true
COM11,communications-technology-11-6-4,COM11-6-4,CT11-6-4,6.4,Compress for distribution,true
COM11,communications-technology-11-7-1,COM11-7-1,CT11-7-1,7.1,Studio roles & modalities,true
COM11,communications-technology-11-7-2,COM11-7-2,CT11-7-2,7.2,Broadcast equipment & signals,true
COM11,communications-technology-11-7-3,COM11-7-3,CT11-7-3,7.3,Produce a broadcast,true
COM11,communications-technology-11-7-4,COM11-7-4,CT11-7-4,7.4,Journalism story form,true
COM11,communications-technology-11-8-1,COM11-8-1,CT11-8-1,8.1,Storyboarding,true
COM11,communications-technology-11-8-2,COM11-8-2,CT11-8-2,8.2,Sequencing moving images,true
COM11,communications-technology-11-8-3,COM11-8-3,CT11-8-3,8.3,Create an animation,true
MM12,mm12-o1,MM12-1.1,MM12-1.1,1.1,apply techniques and procedures needed to ma…,true
MM12,mm12-o2,MM12-1.2,MM12-1.2,1.2,demonstrate an understanding of the cultural…,true
MM12,mm12-o3,MM12-1.3,MM12-1.3,1.3,demonstrate an awareness of the procedures i…,true
MM12,mm12-o4,MM12-1.4,MM12-1.4,1.4,apply principles of art and design to create…,true
MM12,mm12-o5,MM12-1.5,MM12-1.5,1.5,construct digital and electronic images whic…,true
MM12,mm12-o6,MM12-2.1,MM12-2.1,2.1,apply techniques and procedures needed to cr…,true
MM12,mm12-o7,MM12-2.2,MM12-2.2,2.2,demonstrate an understanding of the cultural…,true
MM12,mm12-o8,MM12-2.3,MM12-2.3,2.3,demonstrate an awareness of the procedures i…,true
MM12,mm12-o9,MM12-2.4,MM12-2.4,2.4,apply principles of art and design to create…,true
MM12,mm12-o10,MM12-2.5,MM12-2.5,2.5,constructed motion graphics which communicat…,true
IBDS,ds-u01-001,DS-U01-001,DS-U01-001,U1.1,Explain that 'digital society' is a conteste…,true
IBDS,ds-u02-001,DS-U02-001,DS-U02-001,U2.1,,false
IBDS,ds-u02-002,DS-U02-002,DS-U02-002,U2.2,Explain the concept of identity and how digi…,true
IBDS,ds-u02-003,DS-U02-003,DS-U02-003,U2.3,Explain how digital systems can redistribute…,true
IBDS,ds-u02-004,DS-U02-004,DS-U02-004,U2.4,Explain space as both physical and virtual i…,true
IBDS,ds-u02-005,DS-U02-005,DS-U02-005,U2.5,Explain systems thinking and how digital sys…,true
IBDS,ds-u02-006,DS-U02-006,DS-U02-006,U2.6,Explain how values and ethics are embedded i…,true
IBDS,ds-u03-001,DS-U03-001,DS-U03-001,U3.1,Explain how data is generated by individuals…,true
IBDS,ds-u03-002,DS-U03-002,DS-U03-002,U3.2,"Explain how data is collected, stored and pr…",true
IBDS,ds-u03-003,DS-U03-003,DS-U03-003,U3.3,Distinguish between different types of data …,true
IBDS,ds-u03-004,DS-U03-004,DS-U03-004,U3.4,"Explain how data can be aggregated, analysed…",true
IBDS,ds-u03-005,DS-U03-005,DS-U03-005,U3.5,Explain the concept of big data and how it c…,true
IBDS,ds-u03-006,DS-U03-006,DS-U03-006,U3.6,"Analyse privacy, consent and surveillance is…",true
IBDS,ds-u04-001,DS-U04-001,DS-U04-001,U4.1,Explain what an algorithm is in the context …,true
IBDS,ds-u04-002,DS-U04-002,DS-U04-002,U4.2,"Explain how algorithms are used to search, f…",true
IBDS,ds-u04-003,DS-U04-003,DS-U04-003,U4.3,Explain how machine learning systems can lea…,true
IBDS,ds-u04-004,DS-U04-004,DS-U04-004,U4.4,Analyse how recommender systems influence wh…,true
IBDS,ds-u04-005,DS-U04-005,DS-U04-005,U4.5,Explain how bias can enter algorithms and ma…,true
IBDS,ds-u04-006,DS-U04-006,DS-U04-006,U4.6,Evaluate impacts of algorithmic decision-mak…,true
IBDS,ds-u05-001,DS-U05-001,DS-U05-001,U5.1,Explain the basic components of a computer s…,true
IBDS,ds-u05-002,DS-U05-002,DS-U05-002,U5.2,Explain how software and hardware interact t…,true
IBDS,ds-u05-003,DS-U05-003,DS-U05-003,U5.3,Explain how operating systems manage resourc…,true
IBDS,ds-u05-004,DS-U05-004,DS-U05-004,U5.4,Explain how different types of devices (for …,true
IBDS,ds-u05-005,DS-U05-005,DS-U05-005,U5.5,Explain how computer performance and limitat…,true
IBDS,ds-u06-001,DS-U06-001,DS-U06-001,U6.1,"Explain basic network concepts (for example,…",true
IBDS,ds-u06-002,DS-U06-002,DS-U06-002,U6.2,Explain differences between types of network…,true
IBDS,ds-u06-003,DS-U06-003,DS-U06-003,U6.3,Explain how the internet enables communicati…,true
IBDS,ds-u06-004,DS-U06-004,DS-U06-004,U6.4,Explain how data is transmitted across netwo…,true
IBDS,ds-u06-005,DS-U06-005,DS-U06-005,U6.5,Explain how wireless and mobile networks ena…,true
IBDS,ds-u06-006,DS-U06-006,DS-U06-006,U6.6,Explain basic cybersecurity risks (for examp…,true
IBDS,ds-u07-001,DS-U07-001,DS-U07-001,U7.1,"Explain how digital media platforms host, di…",true
IBDS,ds-u07-002,DS-U07-002,DS-U07-002,U7.2,Explain how attention is measured and commod…,true
IBDS,ds-u07-003,DS-U07-003,DS-U07-003,U7.3,Analyse how digital media platforms shape ex…,true
IBDS,ds-u07-004,DS-U07-004,DS-U07-004,U7.4,"Explain how misinformation, disinformation a…",true
IBDS,ds-u07-005,DS-U07-005,DS-U07-005,U7.5,Evaluate responses to harmful or misleading …,true
IBDS,ds-u08-001,DS-U08-001,DS-U08-001,U8.1,,false
IBDS,ds-u08-002,DS-U08-002,DS-U08-002,U8.2,,false
IBDS,ds-u08-003,DS-U08-003,DS-U08-003,U8.3,,false
IBDS,ds-u08-004,DS-U08-004,DS-U08-004,U8.4,,false
IBDS,ds-u08-005,DS-U08-005,DS-U08-005,U8.5,,false
IBDS,ds-u08-006,DS-U08-006,DS-U08-006,U8.6,,false
IBDS,ds-u09-001,DS-U09-001,DS-U09-001,U9.1,,false
IBDS,ds-u09-002,DS-U09-002,DS-U09-002,U9.2,,false
IBDS,ds-u09-003,DS-U09-003,DS-U09-003,U9.3,,false
IBDS,ds-u09-004,DS-U09-004,DS-U09-004,U9.4,,false
IBDS,ds-u09-005,DS-U09-005,DS-U09-005,U9.5,,false
IBDS,ds-u10-001,DS-U10-001,DS-U10-001,U10.1,,false
IBDS,ds-u10-002,DS-U10-002,DS-U10-002,U10.2,,false
IBDS,ds-u10-003,DS-U10-003,DS-U10-003,U10.3,,false
IBDS,ds-u10-004,DS-U10-004,DS-U10-004,U10.4,,false
IBDS,ds-u10-005,DS-U10-005,DS-U10-005,U10.5,,false
IBDS,ds-u10-006,DS-U10-006,DS-U10-006,U10.6,,false
IBDS,ds-u10-007,DS-U10-007,DS-U10-007,U10.7,,false
IBDS,ds-u10-008,DS-U10-008,DS-U10-008,U10.8,,false
IBDS,ds-u12-001,DS-U12-001,DS-U12-001,U12.1,,false
IBDS,ds-u12-002,DS-U12-002,DS-U12-002,U12.2,,false
IBDS,ds-u12-003,DS-U12-003,DS-U12-003,U12.3,"Locate, select and evaluate diverse sources …",true
IBDS,ds-u12-004,DS-U12-004,DS-U12-004,U12.4,,false
IBDS,ds-u12-005,DS-U12-005,DS-U12-005,U12.5,,false
IBDS,ds-u12-006,DS-U12-006,DS-U12-006,U12.6,,false
IBDS,ds-u12-007,DS-U12-007,DS-U12-007,U12.7,,false
