<PARSED TEXT FOR SHEET: 1 / 1 TABS
TAB NAME: skybound__Step_Map.csv>index,project_id,project_step_id,step_number,anchor,title,skill_ids,design_skill_ids,evidence_ids,video_priority
0,BL-SKYBOUND,SK-S01,1,step-1,Set up your expedition,BL-NAV-01;BL-IMP-01;BL-MAT-01;BL-LGT-01;BL-RND-01;PS-FND-01;PS-SEL-01;PS-LAY-01;PS-LGT-02;PS-OUT-01;PS-DES-01,GD-CRIT-01,,Short
1,BL-SKYBOUND,SK-S02,2,step-2,Find your way around Blender,BL-NAV-01;BL-IMP-01;BL-TRN-01;BL-CAM-01;BL-LGT-01;BL-RND-01;PS-SEL-01;PS-LAY-01;PS-BLD-02;PS-LGT-02;PS-SHP-01,GD-CRIT-01,,Core
2,BL-SKYBOUND,SK-S03,3,step-3,Import the four-part classroom model,BL-NAV-01;BL-IMP-01;BL-TRN-01;BL-MAT-01;BL-CAM-01;BL-LGT-01;PS-SEL-01;PS-LAY-01;PS-TRN-01;PS-LGT-02,GD-CRIT-01;GD-REP-01,,Core
3,BL-SKYBOUND,SK-S04,4,step-4,"Orbit, pan and zoom without moving the model",BL-NAV-01;BL-IMP-01;BL-TRN-01;BL-CAM-01;BL-RND-01;PS-SEL-01;PS-LAY-01,GD-CRIT-01,SK-OBS-01,Core
4,BL-SKYBOUND,SK-S05,5,step-5,Identify the pieces you will control,BL-NAV-01;BL-IMP-01;BL-TRN-01;BL-MAT-01;PS-SEL-01;PS-LAY-01;PS-TRN-01,GD-CRIT-01,,Core
5,BL-SKYBOUND,SK-S06,6,step-6,Parent the balloon to one controller,BL-NAV-01;BL-IMP-01;BL-TRN-01;BL-HIE-01;BL-MAT-01;BL-CAM-01;BL-LGT-01;PS-SEL-01;PS-LAY-01;PS-TRN-01;PS-LGT-02;PS-DES-01,GD-HIE-01;GD-CRIT-01;GD-REP-01,,Core
6,BL-SKYBOUND,SK-S07,7,step-7,"Practise transformations, then reset",BL-NAV-01;BL-IMP-01;BL-TRN-01;BL-HIE-01;BL-CAM-01;PS-SEL-01;PS-LAY-01;PS-TRN-01;PS-FLT-01;PS-TYP-01;PS-DES-01,GD-HIE-01;GD-TYP-01;GD-CRIT-01,SK-OBS-02,Core
7,BL-SKYBOUND,SK-S08,8,step-8,"Smooth the fabric, not the geometry",BL-NAV-01;BL-IMP-01;BL-TRN-01;BL-MAT-01;BL-LGT-01;BL-RND-01;PS-SEL-01;PS-LAY-01;PS-LGT-02;PS-SHP-01,GD-CRIT-01,,Core
8,BL-SKYBOUND,SK-S09,9,step-9,Open the material workspace,BL-NAV-01;BL-IMP-01;BL-MAT-01;BL-CAM-01;BL-LGT-01;BL-RND-01;PS-SEL-01;PS-LAY-01;PS-BLD-02;PS-LGT-02,GD-CRIT-01,,Core
9,BL-SKYBOUND,SK-S10,10,step-10,Connect the image to the material,BL-NAV-01;BL-TRN-01;BL-HIE-01;BL-MAT-01;BL-CAM-01;BL-RND-01;PS-SEL-01;PS-LAY-01;PS-TRN-01;PS-SHP-01;PS-DES-01,GD-COL-01;GD-BRD-01;GD-CRIT-01,,Core
