<PARSED TEXT FOR SHEET: 1 / 1 TABS
TAB NAME: cereal-box__Step_Map.csv>index,project_id,project_step_id,step_number,anchor,title,skill_ids,design_skill_ids,evidence_ids,video_priority
0,PS-CEREAL-BOX,CB-S01,1,step-1,Read the design before building it,PS-FND-01;PS-SEL-01;PS-LAY-01;PS-BLD-02;PS-LGT-02;PS-TYP-01;PS-SHP-01;PS-OUT-01;PS-DES-01,GD-COL-01;GD-TYP-01;GD-AUD-01;GD-CRIT-01,,Short
1,PS-CEREAL-BOX,CB-S02,2,step-2,Create the front-panel document,PS-FND-01;PS-SEL-01;PS-LAY-01;PS-BLD-02,GD-COL-01;GD-CRIT-01,,Core
2,PS-CEREAL-BOX,CB-S03,3,step-3,Organize the layers and tracing guide,PS-FND-01;PS-SEL-01;PS-LAY-01;PS-TRN-01;PS-BLD-02;PS-LGT-02;PS-TYP-01;PS-SHP-01;PS-OUT-01,GD-COL-01;GD-TYP-01;GD-CRIT-01,,Core
3,PS-CEREAL-BOX,CB-S04,4,step-4,Build the background and tabletop,PS-FND-01;PS-SEL-01;PS-LAY-01;PS-TRN-01;PS-BLD-02;PS-LGT-02;PS-SHP-01,GD-COL-01;GD-CRIT-01;GD-CON-01,,Core
4,PS-CEREAL-BOX,CB-S05,5,step-5,Give the bowl a body,PS-FND-01;PS-SEL-01;PS-LAY-01;PS-TRN-01;PS-BLD-02;PS-SHP-01,GD-COL-01;GD-CRIT-01;GD-CON-01,,Core
5,PS-CEREAL-BOX,CB-S06,6,step-6,Build a rim from nested ellipses,PS-FND-01;PS-SEL-01;PS-LAY-01;PS-BLD-02;PS-LGT-02;PS-SHP-01,GD-CRIT-01;GD-CON-01,,Core
6,PS-CEREAL-BOX,CB-S07,7,step-7,Add milk with a soft depth cue,PS-FND-01;PS-SEL-01;PS-LAY-01;PS-TRN-01;PS-BLD-02;PS-LGT-02;PS-TYP-01;PS-SHP-01,GD-TYP-01;GD-CRIT-01;GD-CON-01,,Core
7,PS-CEREAL-BOX,CB-S08,8,step-8,Draw the main milk splash,PS-FND-01;PS-SEL-01;PS-LAY-01;PS-SEL-02;PS-TRN-01;PS-BLD-02;PS-SHP-01,GD-CRIT-01;GD-CON-01,,Core
8,PS-CEREAL-BOX,CB-S09,9,step-9,Build a small family of droplets,PS-FND-01;PS-SEL-01;PS-LAY-01;PS-TRN-01;PS-BLD-02;PS-SHP-01,GD-CRIT-01;GD-REP-01,,Core
9,PS-CEREAL-BOX,CB-S10,10,step-10,Make a ring with a real hole,PS-FND-01;PS-SEL-01;PS-LAY-01;PS-TRN-01;PS-BLD-02;PS-SHP-01,GD-COL-01;GD-CRIT-01,CB-OBS-01,Core
10,PS-CEREAL-BOX,CB-S11,11,step-11,Light the ring with a bevel,PS-FND-01;PS-SEL-01;PS-LAY-01;PS-BLD-02;PS-LGT-02;PS-EFX-01,GD-COL-01;GD-MET-01;GD-CRIT-01,,Core
11,PS-CEREAL-BOX,CB-S12,12,step-12,"Add editable grain, not coloured static",PS-FND-01;PS-SEL-01;PS-LAY-01;PS-SMO-01;PS-TRN-01;PS-BLD-02;PS-LGT-02;PS-FLT-01,GD-COL-01;GD-CRIT-01;GD-CON-01,,Core
12,PS-CEREAL-BOX,CB-S13,13,step-13,Wrap the construction in a Smart Object,PS-FND-01;PS-SEL-01;PS-LAY-01;PS-SMO-01;PS-TRN-02;PS-BLD-02;PS-FLT-01;PS-TYP-01;PS-EFX-01,GD-COL-01;GD-TYP-01;GD-CRIT-01,,Core
13,PS-CEREAL-BOX,CB-S14,14,step-14,Make the outline slightly irregular,PS-FND-01;PS-SEL-01;PS-LAY-01;PS-SMO-01;PS-TRN-02;PS-BLD-02;PS-LGT-02;PS-FLT-01,GD-CRIT-01;GD-REP-01,,Core
14,PS-CEREAL-BOX,CB-S15,15,step-15,Bring an editable master into the cover,PS-FND-01;PS-SEL-01;PS-LAY-01;PS-SMO-01;PS-TRN-01;PS-BLD-02;PS-TYP-01,GD-COL-01;GD-TYP-01;GD-CRIT-01,CB-OBS-02,Core
15,PS-CEREAL-BOX,CB-S16,16,step-16,Finish the four-colour master set,PS-FND-01;PS-SEL-01;PS-LAY-01;PS-SMO-01;PS-TRN-01;PS-BLD-02;PS-LGT-02;PS-FLT-01;PS-TYP-01;PS-EFX-01,GD-COL-01;GD-TYP-01;GD-CRIT-01;GD-REP-01,,Core
16,PS-CEREAL-BOX,CB-S17,17,step-17,Place the first ring on the milk plane,PS-FND-01;PS-SEL-01;PS-LAY-01;PS-SMO-01;PS-TRN-01;PS-BLD-02;PS-LGT-02;PS-TYP-01;PS-SHP-01,GD-TYP-01;GD-CRIT-01,,Core
17,PS-CEREAL-BOX,CB-S18,18,step-18,Populate the bowl without making a grid,PS-FND-01;PS-SEL-01;PS-LAY-01;PS-SMO-01;PS-TRN-01;PS-BLD-02;PS-SHP-01,GD-COL-01;GD-CRIT-01;GD-REP-01,,Core
18,PS-CEREAL-BOX,CB-S19,19,step-19,Paint close contact shadows,PS-FND-01;PS-SEL-01;PS-LAY-01;PS-TRN-01;PS-BLD-02;PS-LGT-02;PS-FLT-01;PS-SHP-01,GD-COL-01;GD-CRIT-01;GD-CON-01;GD-REP-01,CB-OBS-03,Core
19,PS-CEREAL-BOX,CB-S20,20,step-20,Sink two cereal edges into the milk,PS-FND-01;PS-SEL-01;PS-LAY-01;PS-TRN-01;PS-BLD-02;PS-LGT-02;PS-TYP-01;PS-SHP-01,GD-COL-01;GD-TYP-01;GD-CRIT-01,,Core
