<PARSED TEXT FOR SHEET: 1 / 1 TABS
TAB NAME: stormbound__Step_Map.csv>index,project_id,project_step_id,step_number,anchor,title,skill_ids,design_skill_ids,evidence_ids,video_priority
0,PS-STORMBOUND,SB-S01,1,step-1,"Plan the transformation, not just the weather",PS-FND-01;PS-SEL-01;PS-LAY-01;PS-TRN-01;PS-BLD-02;PS-LGT-02;PS-FLT-01;PS-TYP-01;PS-SHP-01;PS-OUT-01;PS-DES-01,GD-HIE-01;GD-TYP-01;GD-MET-01;GD-CRIT-01;GD-CON-01,,Short
1,PS-STORMBOUND,SB-S02,2,step-2,Create the working document,PS-FND-01;PS-SEL-01;PS-LAY-01;PS-TRN-01;PS-BLD-02;PS-OUT-01;PS-DES-01,GD-COL-01;GD-CRIT-01,,Core
2,PS-STORMBOUND,SB-S03,3,step-3,Build a layer structure you can understand,PS-FND-01;PS-SEL-01;PS-LAY-01;PS-TRN-01;PS-BLD-02;PS-LGT-02,GD-ALN-01;GD-COL-01;GD-CRIT-01;GD-CON-01,,Core
3,PS-STORMBOUND,SB-S04,4,step-4,Place and tone the storm background,PS-SEL-01;PS-LAY-01;PS-TRN-01;PS-TON-01;PS-LGT-02;PS-DES-01,GD-CRIT-01;GD-CON-01,,Core
4,PS-STORMBOUND,SB-S05,5,step-5,Mask the hand without deleting it,PS-SEL-01;PS-LAY-01;PS-RET-01,GD-COL-01;GD-CRIT-01;GD-CON-01,,Core
5,PS-STORMBOUND,SB-S06,6,step-6,Place the hand on the diagonal,PS-SEL-01;PS-LAY-01;PS-SMO-01;PS-TRN-01;PS-SHP-01,GD-CRIT-01,,Core
6,PS-STORMBOUND,SB-S07,7,step-7,Extract the snake and protect its tongue,PS-SEL-01;PS-LAY-01;PS-SMO-01;PS-LGT-02;PS-SHP-01,GD-CRIT-01;GD-CON-01,,Core
7,PS-STORMBOUND,SB-S08,8,step-8,Make the snake a continuation of the finger,PS-SEL-01;PS-LAY-01;PS-SMO-01;PS-TRN-01;PS-FLT-01,GD-COL-01;GD-CRIT-01,,Core
8,PS-STORMBOUND,SB-S09,9,step-9,Taper the neck without distorting the face,PS-SEL-01;PS-LAY-01;PS-TRN-01;PS-TRN-02,GD-CRIT-01,,Core
9,PS-STORMBOUND,SB-S10,10,step-10,"Hide the old fingertip, not the whole hand",PS-SEL-01;PS-LAY-01;PS-SMO-01;PS-TRN-01;PS-SHP-01,GD-MET-01;GD-CRIT-01,,Core
10,PS-STORMBOUND,SB-S11,11,step-11,Lift the snake’s detail before sampling it,PS-SEL-01;PS-LAY-01;PS-TRN-01;PS-TON-01;PS-LGT-02;PS-RET-01,GD-CRIT-01;GD-CON-01,,Core
11,PS-STORMBOUND,SB-S12,12,step-12,Prepare a safe Clone Stamp layer,PS-FND-01;PS-SEL-01;PS-LAY-01;PS-SMO-01;PS-TRN-01;PS-TON-01;PS-RET-01;PS-SHP-01,GD-ALN-01;GD-CRIT-01,,Core
