<PARSED TEXT FOR SHEET: 1 / 1 TABS
TAB NAME: truck-ad__Step_Map.csv>index,project_id,project_step_id,step_number,anchor,title,skill_ids,design_skill_ids,evidence_ids,video_priority
0,PS-TRUCK-AD,TA-S01,1,step-1,Download the approved assets and create the working file,PS-FND-01,,,Core
1,PS-TRUCK-AD,TA-S02,2,step-2,Make the truck editable and apply the Cutout look,PS-SMO-01;PS-FLT-01,,,Core
2,PS-TRUCK-AD,TA-S03,3,step-3,Add controlled grain without flattening,PS-FLT-01;PS-SMO-01,,,Core
3,PS-TRUCK-AD,TA-S04,4,step-4,Protect the truck detail with the Smart Filter mask,PS-FLT-01;PS-LAY-01,,TA-OBS-01,Core
4,PS-TRUCK-AD,TA-S05,5,step-5,Blend the paper texture over the scene,PS-BLD-02;PS-LAY-01,GD-CON-01,,Core
5,PS-TRUCK-AD,TA-S06,6,step-6,Add the source-style vignette,PS-TON-01;PS-LAY-01,GD-HIE-01,,Core
6,PS-TRUCK-AD,TA-S07,7,step-7,Create the bull halftone treatment,PS-FLT-01;PS-SMO-01,GD-MET-01,,Core
7,PS-TRUCK-AD,TA-S08,8,step-8,Blend the bull into the ad,PS-BLD-02;PS-LAY-01,GD-MET-01,TA-CON-01,Core
8,PS-TRUCK-AD,TA-S09,9,step-9,"Build the first headline block with alignment, not guessing",PS-TYP-01,GD-HIE-01;GD-ALN-01;GD-TYP-01,TA-OBS-02,Core
9,PS-TRUCK-AD,TA-S10,10,step-10,Make one reusable halftone type texture,PS-FLT-01;PS-TYP-01,GD-REP-01,,Core
10,PS-TRUCK-AD,TA-S11,11,step-11,Add oversized ghost type for depth,PS-TYP-01;PS-BLD-02,GD-HIE-01;GD-REP-01,,Core
11,PS-TRUCK-AD,TA-S12,12,step-12,Create the secondary type block and reuse the dot method,PS-TYP-01;PS-FLT-01,GD-HIE-01;GD-ALN-01;GD-TYP-01,,Core
12,PS-TRUCK-AD,TA-S13,13,step-13,Audit visual hierarchy and revise one decision,PS-DES-01,GD-HIE-01;GD-CRIT-01,TA-OBS-02;TA-QA-01,Core
13,PS-TRUCK-AD,TA-S14,14,step-14,Complete the evidence conversation,PS-DES-01,GD-AUD-01;GD-MET-01,TA-CON-02,Short
14,PS-TRUCK-AD,TA-S15,15,step-15,Inspect the layered product at 100%,PS-SMO-01;PS-FLT-01,GD-CRIT-01,TA-PRO-01;TA-QA-01,Core
15,PS-TRUCK-AD,TA-S16,16,step-16,"Export, submit and connect the evidence",PS-OUT-01,,TA-PRO-02;TA-PRO-03,Core
