<PARSED TEXT FOR SHEET: 1 / 1 TABS
TAB NAME: turtle-kingdom__Step_Map.csv>index,project_id,project_step_id,step_number,anchor,title,skill_ids,design_skill_ids,evidence_ids,video_priority
0,PS-TURTLE-KINGDOM,TK-S01,1,step-1,Read the scene and collect the assets,PS-FND-01;PS-SEL-01;PS-LAY-01;PS-LGT-02;PS-OUT-01,GD-HIE-01;GD-MET-01;GD-CRIT-01,,Short
1,PS-TURTLE-KINGDOM,TK-S02,2,step-2,Create a manageable master document,PS-FND-01;PS-SEL-01;PS-LAY-01;PS-TRN-01;PS-LGT-02;PS-FLT-01;PS-DES-01,GD-ALN-01;GD-COL-01;GD-MET-01;GD-CRIT-01,,Core
2,PS-TURTLE-KINGDOM,TK-S03,3,step-3,Place the ocean without distorting it,PS-SEL-01;PS-LAY-01;PS-SMO-01;PS-TRN-01;PS-TRN-02,GD-COL-01;GD-CRIT-01;GD-REP-01,,Core
3,PS-TURTLE-KINGDOM,TK-S04,4,step-4,"Mask the old sky, not the water",PS-SEL-01;PS-LAY-01;PS-TRN-01;PS-BLD-02,GD-CRIT-01,,Core
4,PS-TURTLE-KINGDOM,TK-S05,5,step-5,Fit the dramatic sky behind the horizon,PS-FND-01;PS-SEL-01;PS-LAY-01;PS-TRN-01;PS-LGT-02;PS-TYP-01;PS-SHP-01,GD-COL-01;GD-TYP-01;GD-CRIT-01,,Core
5,PS-TURTLE-KINGDOM,TK-S06,6,step-6,Bring the sea into the same colour family,PS-SEL-01;PS-LAY-01;PS-TRN-01;PS-TON-01;PS-LGT-02;PS-FLT-01;PS-TYP-01,GD-COL-01;GD-TYP-01;GD-CRIT-01;GD-CON-01;GD-REP-01,,Core
6,PS-TURTLE-KINGDOM,TK-S07,7,step-7,Select the turtle in its original photograph,PS-FND-01;PS-SEL-01;PS-LAY-01;PS-SMO-01;PS-TRN-01;PS-SHP-01,GD-CRIT-01,,Core
7,PS-TURTLE-KINGDOM,TK-S08,8,step-8,Refine the hard edges without losing anatomy,PS-SEL-01;PS-LAY-01;PS-TRN-01;PS-FLT-01,GD-COL-01;GD-CRIT-01;GD-CON-01,TK-OBS-01,Core
8,PS-TURTLE-KINGDOM,TK-S09,9,step-9,Place the turtle at the intended scale,PS-SEL-01;PS-LAY-01;PS-TRN-01;PS-LGT-02;PS-SHP-01;PS-DES-01,GD-MET-01;GD-CRIT-01,,Core
9,PS-TURTLE-KINGDOM,TK-S10,10,step-10,Add a close contact shadow under the turtle,PS-SEL-01;PS-LAY-01;PS-TRN-01;PS-BLD-02;PS-TON-01;PS-LGT-02;PS-FLT-01;PS-SHP-01,GD-COL-01;GD-CRIT-01;GD-CON-01,,Core
10,PS-TURTLE-KINGDOM,TK-S11,11,step-11,Match the turtle before hiding part of its shell,PS-FND-01;PS-SEL-01;PS-LAY-01;PS-TRN-01;PS-BLD-02;PS-TON-01;PS-LGT-02,GD-COL-01;GD-CRIT-01;GD-CON-01,,Core
11,PS-TURTLE-KINGDOM,TK-S12,12,step-12,Extract a useful patch of real sand,PS-FND-01;PS-SEL-01;PS-LAY-01;PS-TRN-01;PS-TON-01;PS-LGT-02;PS-RET-01;PS-FLT-01,GD-CRIT-01;GD-CON-01,,Core
12,PS-TURTLE-KINGDOM,TK-S13,13,step-13,Shape the texture to the shell’s surface,PS-SEL-01;PS-LAY-01;PS-TRN-01;PS-TRN-02;PS-FLT-01;PS-SHP-01,GD-ALN-01;GD-CRIT-01,TK-OBS-02,Core
13,PS-TURTLE-KINGDOM,TK-S14,14,step-14,Mask the sand to the upper shell,PS-SEL-01;PS-LAY-01;PS-TRN-01;PS-LGT-02;PS-SHP-01,GD-CRIT-01,,Core
14,PS-TURTLE-KINGDOM,TK-S15,15,step-15,Give the sand platform light and volume,PS-SEL-01;PS-LAY-01;PS-TRN-01;PS-TON-01;PS-LGT-02;PS-FLT-01,GD-COL-01;GD-CRIT-01;GD-CON-01,,Core
15,PS-TURTLE-KINGDOM,TK-S16,16,step-16,Start the main castle mask,PS-FND-01;PS-SEL-01;PS-LAY-01;PS-SMO-01;PS-TRN-01;PS-FLT-01;PS-SHP-01,GD-MET-01;GD-CRIT-01,,Core
16,PS-TURTLE-KINGDOM,TK-S17,17,step-17,Remove blue sky between the turrets,PS-SEL-01;PS-LAY-01;PS-TRN-01;PS-TON-01;PS-LGT-02;PS-RET-01,GD-COL-01;GD-MET-01;GD-CRIT-01;GD-CON-01,,Core
17,PS-TURTLE-KINGDOM,TK-S18,18,step-18,"Clean, trim and save the main castle",PS-SEL-01;PS-LAY-01;PS-TRN-01;PS-LGT-02;PS-TYP-01;PS-SHP-01,GD-COL-01;GD-TYP-01;GD-MET-01;GD-CRIT-01;GD-CON-01,,Core
18,PS-TURTLE-KINGDOM,TK-S19,19,step-19,Place the main castle on the shell,PS-SEL-01;PS-LAY-01;PS-TRN-01;PS-TRN-02;PS-LGT-02;PS-SHP-01;PS-DES-01,GD-HIE-01;GD-MET-01;GD-CRIT-01,,Core
19,PS-TURTLE-KINGDOM,TK-S20,20,step-20,Blend the castle’s base into the sand,PS-SEL-01;PS-LAY-01;PS-TRN-01,GD-ALN-01;GD-COL-01;GD-MET-01;GD-CRIT-01,,Core
20,PS-TURTLE-KINGDOM,TK-S21,21,step-21,Extract the twin-tower gate and its opening,PS-FND-01;PS-SEL-01;PS-LAY-01;PS-SMO-01;PS-TRN-01;PS-BLD-02;PS-SHP-01,GD-COL-01;GD-MET-01;GD-CRIT-01;GD-CON-01,,Core
21,PS-TURTLE-KINGDOM,TK-S22,22,step-22,Arrange gates at two different depths,PS-FND-01;PS-SEL-01;PS-LAY-01;PS-SMO-01;PS-TRN-01;PS-TON-01;PS-LGT-02;PS-SHP-01;PS-DES-01,GD-HIE-01;GD-ALN-01;GD-MET-01;GD-CRIT-01;GD-CON-01,,Core
22,PS-TURTLE-KINGDOM,TK-S23,23,step-23,Paint restrained shadows at the building feet,PS-SEL-01;PS-LAY-01;PS-BLD-02;PS-LGT-02;PS-FLT-01,GD-MET-01;GD-CRIT-01;GD-CON-01,,Core
23,PS-TURTLE-KINGDOM,TK-S24,24,step-24,Match the castle pieces to one another,PS-SEL-01;PS-LAY-01;PS-TRN-01;PS-TON-01;PS-LGT-02,GD-COL-01;GD-MET-01;GD-CRIT-01;GD-CON-01;GD-REP-01,,Core
