<PARSED TEXT FOR SHEET: 1 / 1 TABS
TAB NAME: zebra-ironing__Step_Map.csv>index,project_id,project_step_id,step_number,anchor,title,skill_ids,design_skill_ids,evidence_ids,video_priority
0,PS-ZEBRA-IRONING,ZI-S01,1,step-1,Read the illusion before editing,PS-SEL-01;PS-LAY-01;PS-BLD-02;PS-LGT-02;PS-TYP-01;PS-DES-01,GD-TYP-01;GD-MET-01;GD-CRIT-01,,Short
1,PS-ZEBRA-IRONING,ZI-S02,2,step-2,Create and save the working document,PS-FND-01;PS-SEL-01;PS-LAY-01;PS-BLD-02;PS-TYP-01;PS-OUT-01,GD-COL-01;GD-TYP-01;GD-MET-01;GD-CRIT-01,,Core
2,PS-ZEBRA-IRONING,ZI-S03,3,step-3,Build a simple studio and layout guides,PS-SEL-01;PS-LAY-01;PS-TRN-01;PS-BLD-02;PS-LGT-02;PS-RET-01;PS-TYP-01,GD-ALN-01;GD-COL-01;GD-TYP-01;GD-CRIT-01;GD-CON-01,,Core
3,PS-ZEBRA-IRONING,ZI-S04,4,step-4,Place the rearing-zebra source,PS-FND-01;PS-SEL-01;PS-LAY-01;PS-SMO-01;PS-TRN-01;PS-BLD-02;PS-RET-01;PS-DES-01,GD-MET-01;GD-CRIT-01;GD-REP-01,,Core
4,PS-ZEBRA-IRONING,ZI-S05,5,step-5,Select the left zebra only,PS-SEL-01;PS-LAY-01;PS-TRN-01;PS-BLD-02;PS-DES-01,GD-MET-01;GD-CRIT-01,,Core
5,PS-ZEBRA-IRONING,ZI-S06,6,step-6,"Refine fur, then output a mask",PS-SEL-01;PS-LAY-01;PS-TRN-01;PS-BLD-02;PS-FLT-01;PS-DES-01,GD-COL-01;GD-MET-01;GD-CRIT-01;GD-CON-01,ZI-OBS-01,Core
6,PS-ZEBRA-IRONING,ZI-S07,7,step-7,Scale the animal and protect the cut-out,PS-SEL-01;PS-LAY-01;PS-SMO-01;PS-TRN-01;PS-BLD-02;PS-DES-01,GD-MET-01;GD-CRIT-01,,Core
7,PS-ZEBRA-IRONING,ZI-S08,8,step-8,Place the board behind the animal,PS-SEL-01;PS-LAY-01;PS-TRN-01;PS-TRN-02;PS-DES-01,GD-COL-01;GD-MET-01;GD-CRIT-01,,Core
8,PS-ZEBRA-IRONING,ZI-S09,9,step-9,Hide the loose cable without erasing the iron,PS-SEL-01;PS-LAY-01;PS-TRN-01,GD-ALN-01;GD-COL-01;GD-CRIT-01,,Core
9,PS-ZEBRA-IRONING,ZI-S10,10,step-10,Repair the cropped lower frame,PS-SEL-01;PS-LAY-01;PS-TRN-01;PS-BLD-02;PS-TON-01;PS-LGT-02;PS-RET-01,GD-COL-01;GD-MET-01;GD-CRIT-01;GD-CON-01,,Core
10,PS-ZEBRA-IRONING,ZI-S11,11,step-11,Lift the iron into a separate top layer,PS-SEL-01;PS-LAY-01;PS-TRN-01;PS-LGT-02;PS-TYP-01,GD-ALN-01;GD-TYP-01;GD-MET-01;GD-CRIT-01,,Core
11,PS-ZEBRA-IRONING,ZI-S12,12,step-12,Separate the working foreleg,PS-SEL-01;PS-LAY-01;PS-SMO-01;PS-TRN-01;PS-TRN-02;PS-WRP-01;PS-TYP-01;PS-DES-01,GD-ALN-01;GD-TYP-01;GD-MET-01;GD-CRIT-01,,Core
12,PS-ZEBRA-IRONING,ZI-S13,13,step-13,Pose the hoof with three anchor pins,PS-SEL-01;PS-LAY-01;PS-SMO-01;PS-TRN-01;PS-TRN-02;PS-WRP-01;PS-DES-01,GD-CRIT-01;GD-REP-01,ZI-OBS-02,Core
13,PS-ZEBRA-IRONING,ZI-S14,14,step-14,Refine the grip and shoulder join,PS-SEL-01;PS-LAY-01;PS-TRN-01;PS-BLD-02;PS-LGT-02;PS-FLT-01;PS-DES-01,GD-MET-01;GD-CRIT-01,,Core
14,PS-ZEBRA-IRONING,ZI-S15,15,step-15,Extract a clean stripe patch,PS-FND-01;PS-SEL-01;PS-LAY-01;PS-TRN-01;PS-BLD-02;PS-TYP-01,GD-TYP-01;GD-MET-01;GD-CRIT-01,,Core
15,PS-ZEBRA-IRONING,ZI-S16,16,step-16,Place the coat between board and iron,PS-FND-01;PS-SEL-01;PS-LAY-01;PS-SMO-01;PS-TRN-01;PS-BLD-02;PS-DES-01,GD-MET-01;GD-CRIT-01,,Core
